"dmuiid","lmapunitiid","muiid","MLRARSYM","Count","percentmlra","pmlra","mu.total","affinity","LRU","best","ofbest","compname","coiid","areasymbol","areaname","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","Site","grpname"
128010,170377,170377,"139",817,0.00240108316182389,0.00240108316182389,0.00240108316182389,100,"139",100,100,"Wooster",248598,"OH117","Morrow County, Ohio","5q91","Wooster silt loam, 2 to 6 percent slopes",17.6100241849005,TRUE,85,"alfisols","typic fragiudalfs","Fine-loamy, mixed, mesic Typic Fragiudalfs","well",4,112,250,0,36.1719988250732,45.3580011749268,18.47,1.2170000064373,9.14999975264072,5.30000019073486,0,39.6893325042725,40.6606674957275,19.65,0.645666669209798,20.9699997007847,"none",23,0,"till, unspecified","sandstone and siltstone","till plain & moraine","no","no",250,"F139XY005OH","12-BEL Belmont, New York"
128011,170378,170378,"139",1206,0.00354431614829818,0.00354431614829818,0.00459239135817525,77.1780075317121,"139",77.1780075317121,100,"Wooster",248599,"OH117","Morrow County, Ohio","5q92","Wooster silt loam, 6 to 12 percent slopes",17.652451547476,TRUE,85,"alfisols","typic fragiudalfs","Fine-loamy, mixed, mesic Typic Fragiudalfs","well",9,112,250,0,36.1719988250732,45.3580011749268,18.47,1.2170000064373,9.14999975264072,5.30000019073486,0,39.6893325042725,40.6606674957275,19.65,0.645666669209798,20.9699997007847,"none",23,0,"till, unspecified","sandstone and siltstone","till plain & moraine","no","no",250,"F139XY005OH","12-BEL Belmont, New York"
128012,170379,170379,"139",8686,0.0255273051941277,0.0255273051941277,0.0341795005437511,74.6860100002098,"139",74.6860100002098,100,"Wooster",248600,"OH117","Morrow County, Ohio","5q93","Wooster silt loam, 6 to 12 percent slopes, eroded",17.6302569799961,TRUE,85,"alfisols","typic fragiudalfs","Fine-loamy, mixed, mesic Typic Fragiudalfs","well",9,112,250,0,36.1719988250732,45.3580011749268,18.47,1.2170000064373,9.14999975264072,5.30000019073486,0,39.6893325042725,40.6606674957275,19.65,0.645666669209798,20.9699997007847,"none",23,0,"till, unspecified","sandstone and siltstone","till plain & moraine","no","no",250,"F139XY005OH","12-BEL Belmont, New York"
128013,170380,170380,"139",9771,0.0287160141666845,0.0287160141666845,0.0429988263353283,66.7832511118824,"139",66.7832511118824,100,"Wooster",248601,"OH117","Morrow County, Ohio","5q94","Wooster silt loam, 12 to 18 percent slopes, eroded",17.6362536270205,TRUE,85,"alfisols","typic fragiudalfs","Fine-loamy, mixed, mesic Typic Fragiudalfs","well",15,102,250,0,38.0599987030029,42.5900012969971,19.35,0.98500000834465,8.74999977648258,5.30000019073486,0,40.529999109904,39.8866675567627,19.5833333333333,0.557666669885317,20.4899997189641,"none",15,0,"till, unspecified","sandstone and siltstone","till plain & moraine","no","no",250,"F139XY004OH","12-BEL Belmont, New York"
128014,1406559,1406559,"139",56,0.000164578527615836,0.000164578527615836,0.000164578527615836,100,"139",100,100,"Wooster",248602,"OH139","Richland County, Ohio","1j6mw","Wooster silt loam, 18 to 25 percent slopes, eroded",17.6623594760895,TRUE,85,"alfisols","typic fragiudalfs","Fine-loamy, mixed, mesic Typic Fragiudalfs","well",22,102,250,0,38.5319986724854,41.8980013275146,19.57,0.927000008821487,8.64999978244305,5.30000019073486,0,40.6593324534098,39.6573342132568,19.6833333333333,0.535666669805845,20.2699997350574,"none",13,0,"till, unspecified","sandstone and siltstone","end moraine & ground moraine & hillslope","no","no",250,"F139XY004OH","12-BEL Belmont, New York"
128014,170381,170381,"139",2947,0.00866094501578337,0.00866094501578337,0.0115152775022571,75.2126469734296,"139",75.2126469734296,100,"Wooster",248602,"OH117","Morrow County, Ohio","5q95","Wooster silt loam, 18 to 25 percent slopes, eroded",17.6228572620364,TRUE,85,"alfisols","typic fragiudalfs","Fine-loamy, mixed, mesic Typic Fragiudalfs","well",22,102,250,0,38.5319986724854,41.8980013275146,19.57,0.927000008821487,8.64999978244305,5.30000019073486,0,40.6593324534098,39.6573342132568,19.6833333333333,0.535666669805845,20.2699997350574,"none",13,0,"till, unspecified","sandstone and siltstone","end moraine & ground moraine & hillslope","no","no",250,"F139XY004OH","12-BEL Belmont, New York"
128402,170722,170722,"139",795,0.0023364273116891,0.0023364273116891,0.00450770845720174,51.8318195125576,"139",51.8318195125576,100,"Berks",249191,"OH139","Richland County, Ohio","5qn5","Berks channery silt loam, 2 to 6 percent slopes",17.612666588903,TRUE,90,"inceptisols","typic dystrochrepts","Loamy-skeletal, mixed, mesic Typic Dystrochrepts","well",4,250,71,0,28.9479999542236,55.0719998168945,15.98,1.79,5.90000009536743,5.59999990463257,0,28.4014085312964,54.8732397589885,16.7253521126761,1.33450704225352,7.79000017046928,"none",28,0,"residuum","sandstone, unspecified","hill","no","no",250,"F139XY007OH","12-BEL Belmont, New York"
128403,170723,170723,"139",997,0.00293008557201765,0.00293008557201765,0.00406180570546788,72.1375118478281,"139",72.1375118478281,100,"Berks",249192,"OH139","Richland County, Ohio","5qn6","Berks channery silt loam, 6 to 12 percent slopes",17.6130167222989,TRUE,95,"inceptisols","typic dystrochrepts","Loamy-skeletal, mixed, mesic Typic Dystrochrepts","well",9,250,71,0,28.9479999542236,55.0719998168945,15.98,1.79,5.90000009536743,5.59999990463257,0,28.4014085312964,54.8732397589885,16.7253521126761,1.33450704225352,7.79000017046928,"none",28,0,"residuum","sandstone, unspecified","hill","no","no",250,"F139XY007OH","12-BEL Belmont, New York"
128404,170724,170724,"139",2395,0.00703867095785585,0.00703867095785585,0.0114330574272528,61.5642053986176,"139",61.5642053986176,100,"Berks",249193,"OH139","Richland County, Ohio","5qn7","Berks channery silt loam, 12 to 18 percent slopes",17.6121470152599,TRUE,90,"inceptisols","typic dystrochrepts","Loamy-skeletal, mixed, mesic Typic Dystrochrepts","well",15,250,71,0,28.9479999542236,55.0719998168945,15.98,1.79,5.90000009536743,5.59999990463257,0,28.4014085312964,54.8732397589885,16.7253521126761,1.33450704225352,7.79000017046928,"none",28,0,"residuum","sandstone, unspecified","hill","no","no",250,"F139XY007OH","12-BEL Belmont, New York"
128405,170725,170725,"139",1011,0.00297123020392161,0.00297123020392161,0.00323595501727848,91.8192678222237,"139",91.8192678222237,100,"Berks",249194,"OH139","Richland County, Ohio","5qn8","Berks-Rock outcrop complex, steep",17.497352265346,TRUE,65,"inceptisols","typic dystrochrepts","Loamy-skeletal, mixed, mesic Typic Dystrochrepts","well",39,250,71,0,28.9479999542236,55.0719998168945,15.98,1.79,5.90000009536743,5.59999990463257,0,28.4014085312964,54.8732397589885,16.7253521126761,1.33450704225352,7.79000017046928,"none",28,0,"residuum","sandstone, unspecified","hill","no","no",250,"F139XY007OH","12-BEL Belmont, New York"
128405,170725,170725,"139",1011,0.00297123020392161,0.00297123020392161,0.00323595501727848,91.8192678222237,"139",91.8192678222237,100,"Rock outcrop",249195,"OH139","Richland County, Ohio","5qn8","Berks-Rock outcrop complex, steep",17.497352265346,TRUE,20,NA,NA,NA,NA,39,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"hill","unranked","no",250,"F139XY007OH","12-BEL Belmont, New York"
128406,1593244,1593244,"139",49,0.000144006211663857,0.000144006211663857,0.000144006211663857,100,"139",100,100,"Bogart",249196,"OH117","Morrow County, Ohio","1qgwz","Bogart loam, 0 to 2 percent slopes",17.7016437296965,TRUE,100,"alfisols","aquic hapludalfs","Fine-loamy, mixed, mesic Aquic Hapludalfs","moderately well",1,86,250,0,41.5499992370605,38.7000007629395,19.75,1.625,6.49999976158142,5.80000019073486,0,51.7780000305176,31.6119999694824,16.61,0.807000001271566,16.9399998188019,"none",25,0,"outwash",NA,"stream terrace","no","no",100,"F139XY002OH","12-BEL Belmont, New York"
128406,170726,170726,"139",1066,0.00313286982925859,0.00313286982925859,0.00451765459919457,69.3472632860674,"139",69.3472632860674,100,"Bogart",249196,"OH139","Richland County, Ohio","5qn9","Bogart loam, 0 to 2 percent slopes",17.5944110781795,TRUE,100,"alfisols","aquic hapludalfs","Fine-loamy, mixed, mesic Aquic Hapludalfs","moderately well",1,86,250,0,41.5499992370605,38.7000007629395,19.75,1.625,6.49999976158142,5.80000019073486,0,51.7780000305176,31.6119999694824,16.61,0.807000001271566,16.9399998188019,"none",25,0,"outwash",NA,"stream terrace","no","no",100,"F139XY002OH","12-BEL Belmont, New York"
128407,1593245,1593245,"139",215,0.000631863989953656,0.000631863989953656,0.000631863989953656,100,"139",100,100,"Bogart",249197,"OH117","Morrow County, Ohio","1qgx0","Bogart loam, 2 to 6 percent slopes",17.7449690353039,TRUE,95,"alfisols","aquic hapludalfs","Fine-loamy, mixed, mesic Aquic Hapludalfs","moderately well",4,86,250,0,41.5499992370605,38.7000007629395,19.75,1.625,6.49999976158142,5.80000019073486,0,51.7780000305176,31.6119999694824,16.61,0.807000001271566,16.9399998188019,"none",25,0,"outwash",NA,"stream terrace & alluvial fan","no","no",100,"F139XY002OH","12-BEL Belmont, New York"
128407,170727,170727,"139",2243,0.00659195781147001,0.00659195781147001,0.0122842157775763,53.6620158000076,"139",53.6620158000076,100,"Bogart",249197,"OH139","Richland County, Ohio","5qnb","Bogart loam, 2 to 6 percent slopes",17.580633235096,TRUE,95,"alfisols","aquic hapludalfs","Fine-loamy, mixed, mesic Aquic Hapludalfs","moderately well",4,86,250,0,41.5499992370605,38.7000007629395,19.75,1.625,6.49999976158142,5.80000019073486,0,51.7780000305176,31.6119999694824,16.61,0.807000001271566,16.9399998188019,"none",25,0,"outwash",NA,"stream terrace & alluvial fan","no","no",100,"F139XY002OH","12-BEL Belmont, New York"
128408,1593246,1593246,"139",105,0.000308584739279693,0.000308584739279693,0.000308584739279693,100,"139",100,100,"Bogart",249198,"OH117","Morrow County, Ohio","1qgx1","Bogart silt loam, 0 to 2 percent slopes",17.6478905632382,TRUE,100,"alfisols","aquic hapludalfs","Fine-loamy, mixed, mesic Aquic Hapludalfs","moderately well",1,86,250,0,34.5499992370605,45.7000007629395,19.75,1.625,6.49999976158142,5.80000019073486,0,49.4446666971842,33.9453333028158,16.61,0.807000001271566,16.9399998188019,"none",25,0,"outwash",NA,"stream terrace","no","no",100,"F139XY002OH","12-BEL Belmont, New York"
128408,170728,170728,"139",2990,0.00878731781377411,0.00878731781377411,0.0146835417664398,59.8446747627204,"139",59.8446747627204,100,"Bogart",249198,"OH139","Richland County, Ohio","5qnc","Bogart silt loam, 0 to 2 percent slopes",17.5655641071949,TRUE,100,"alfisols","aquic hapludalfs","Fine-loamy, mixed, mesic Aquic Hapludalfs","moderately well",1,86,250,0,34.5499992370605,45.7000007629395,19.75,1.625,6.49999976158142,5.80000019073486,0,49.4446666971842,33.9453333028158,16.61,0.807000001271566,16.9399998188019,"none",25,0,"outwash",NA,"stream terrace","no","no",100,"F139XY002OH","12-BEL Belmont, New York"
128409,170729,170729,"139",4274,0.0125608683398229,0.0125608683398229,0.0240266683950037,52.2788600288625,"139",52.2788600288625,100,"Bogart",249199,"OH139","Richland County, Ohio","5qnd","Bogart silt loam, 2 to 6 percent slopes",17.5442627421129,TRUE,100,"alfisols","aquic hapludalfs","Fine-loamy, mixed, mesic Aquic Hapludalfs","moderately well",4,86,250,0,34.5499992370605,45.7000007629395,19.75,1.625,6.49999976158142,5.80000019073486,0,49.4446666971842,33.9453333028158,16.61,0.807000001271566,16.9399998188019,"none",25,0,"outwash",NA,"stream terrace","no","no",100,"F139XY002OH","12-BEL Belmont, New York"
128420,170740,170740,"139",10140,0.0298004691075817,0.0298004691075817,0.04346432187294,68.5630600534801,"139",68.5630600534801,100,"Chili",249210,"OH139","Richland County, Ohio","5qnr","Chili loam, 2 to 6 percent slopes",17.542081489576,TRUE,95,"alfisols","typic hapludalfs","Fine-loamy, mixed, mesic Typic Hapludalfs","well",4,112,250,0,42.5499992370605,40.4500007629395,17,1.375,6.49999994784594,5.5,0,53.6706660970052,32.9760005696615,13.3533333333333,0.709666665792465,12.550000037998,"none",25,0,"outwash",NA,"outwash terrace","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
128421,170741,170741,"139",8012,0.02354648505818,0.02354648505818,0.0342124862909331,68.8242440433807,"139",68.8242440433807,100,"Chili",249211,"OH139","Richland County, Ohio","5qns","Chili loam, 6 to 12 percent slopes",17.5254272040551,TRUE,95,"alfisols","typic hapludalfs","Fine-loamy, mixed, mesic Typic Hapludalfs","well",9,112,250,0,42.5499992370605,40.4500007629395,17,1.375,6.49999994784594,5.44999980926514,0,53.6706660970052,32.9760005696615,13.3533333333333,0.709666665792465,12.550000037998,"none",25,0,"outwash",NA,"outwash terrace","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
128422,170742,170742,"139",6249,0.01836520034056,0.01836520034056,0.0260647665256045,70.4598689672477,"139",70.4598689672477,100,"Chili",249212,"OH139","Richland County, Ohio","5qnt","Chili and Conotton soils, 12 to 18 percent slopes",17.529567150786,TRUE,50,"alfisols","typic hapludalfs","Fine-loamy, mixed, mesic Typic Hapludalfs","well",15,112,250,0,42.8999996185303,40.8500003814697,16.25,1.375,6.49999994784594,5.5,0,53.7873328908285,33.1093337758382,13.1033333333333,0.709666665792465,12.550000037998,"none",25,0,"outwash",NA,"outwash terrace","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
128422,1592605,1592605,"139",72,0.000211600964077504,0.000211600964077504,0.000211600964077504,100,"139",100,100,"Conotton",249213,"OH005","Ashland County, Ohio","1qg7c","Chili and Conotton soils, 12 to 18 percent slopes",17.3619737360213,TRUE,48,"alfisols","typic hapludalfs","Loamy-skeletal, mixed, mesic Typic Hapludalfs","well",15,112,250,0,48.9240005493164,38.7159994506836,12.36,1.57,5.45999987795949,5.80000019073486,0,62.9186681111654,25.7813318888346,11.3,0.921999998490016,9.93999977782369,"none",0,0,"outwash",NA,"outwash terrace","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
128422,170742,170742,"139",6249,0.01836520034056,0.01836520034056,0.0260647665256045,70.4598689672477,"139",70.4598689672477,100,"Conotton",249213,"OH139","Richland County, Ohio","5qnt","Chili and Conotton soils, 12 to 18 percent slopes",17.529567150786,TRUE,48,"alfisols","typic hapludalfs","Loamy-skeletal, mixed, mesic Typic Hapludalfs","well",15,112,250,0,48.9240005493164,38.7159994506836,12.36,1.57,5.45999987795949,5.80000019073486,0,62.9186681111654,25.7813318888346,11.3,0.921999998490016,9.93999977782369,"none",0,0,"outwash",NA,"outwash terrace","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
128422,1592605,1592605,"139",72,0.000211600964077504,0.000211600964077504,0.000211600964077504,100,"139",100,100,"Chili",249212,"OH005","Ashland County, Ohio","1qg7c","Chili and Conotton soils, 12 to 18 percent slopes",17.3619737360213,TRUE,50,"alfisols","typic hapludalfs","Fine-loamy, mixed, mesic Typic Hapludalfs","well",15,112,250,0,42.8999996185303,40.8500003814697,16.25,1.375,6.49999994784594,5.5,0,53.7873328908285,33.1093337758382,13.1033333333333,0.709666665792465,12.550000037998,"none",25,0,"outwash",NA,"outwash terrace","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
128423,170743,170743,"139",358,0.00105212701582981,0.00105212701582981,0.00181430976918344,57.9904839680899,"139",57.9904839680899,100,"Conotton",249215,"OH139","Richland County, Ohio","5qnv","Chili and Conotton soils, 12 to 18 percent slopes, severely eroded",17.5719508759519,TRUE,44,"alfisols","typic hapludalfs","Loamy-skeletal, mixed, mesic Typic Hapludalfs","well",15,112,250,0,48.9240005493164,38.7159994506836,12.36,1.16,5.45999987795949,5.80000019073486,0,62.9186681111654,25.7813318888346,11.3,0.747333334088325,9.93999977782369,"none",0,0,"outwash",NA,"outwash terrace","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
128423,170743,170743,"139",358,0.00105212701582981,0.00105212701582981,0.00181430976918344,57.9904839680899,"139",57.9904839680899,100,"Chili",249214,"OH139","Richland County, Ohio","5qnv","Chili and Conotton soils, 12 to 18 percent slopes, severely eroded",17.5719508759519,TRUE,46,"alfisols","typic hapludalfs","Fine-loamy, mixed, mesic Typic Hapludalfs","well",15,112,250,0,42.8999996185303,40.8500003814697,16.25,1,6.49999994784594,5.5,0,53.7873328908285,33.1093337758382,13.1033333333333,0.584666665792465,12.550000037998,"none",0,0,"outwash",NA,"outwash terrace","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
128424,170744,170744,"139",1399,0.00411152428811705,0.00411152428811705,0.00690485082264847,59.5454470157547,"139",59.5454470157547,100,"Conotton",249217,"OH139","Richland County, Ohio","5qnw","Chili and Conotton soils, 18 to 25 percent slopes",17.5331394486433,TRUE,48,"alfisols","typic hapludalfs","Loamy-skeletal, mixed, mesic Typic Hapludalfs","well",22,112,250,0,48.9240005493164,38.7159994506836,12.36,1.57,5.45999987795949,5.80000019073486,0,62.9186681111654,25.7813318888346,11.3,0.921999998490016,9.93999977782369,"none",0,0,"outwash",NA,"outwash terrace","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
128424,170744,170744,"139",1399,0.00411152428811705,0.00411152428811705,0.00690485082264847,59.5454470157547,"139",59.5454470157547,100,"Chili",249216,"OH139","Richland County, Ohio","5qnw","Chili and Conotton soils, 18 to 25 percent slopes",17.5331394486433,TRUE,50,"alfisols","typic hapludalfs","Fine-loamy, mixed, mesic Typic Hapludalfs","well",22,112,250,0,42.8999996185303,40.8500003814697,16.25,1.375,6.49999994784594,5.5,0,53.7873328908285,33.1093337758382,13.1033333333333,0.709666665792465,12.550000037998,"none",25,0,"outwash",NA,"outwash terrace","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
128425,170745,170745,"139",280,0.00082289263807918,0.00082289263807918,0.00102358789103436,80.3929633485236,"139",80.3929633485236,100,"Conotton",249219,"OH139","Richland County, Ohio","5qnx","Chili and Conotton soils, 25 to 40 percent slopes",17.5020537344401,TRUE,46,"alfisols","typic hapludalfs","Loamy-skeletal, mixed, mesic Typic Hapludalfs","well",33,112,250,0,48.9240005493164,38.7159994506836,12.36,1.57,5.45999987795949,5.80000019073486,0,62.9186681111654,25.7813318888346,11.3,0.909333336353302,9.93999977782369,"none",0,0,"outwash",NA,"outwash terrace","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
128425,170745,170745,"139",280,0.00082289263807918,0.00082289263807918,0.00102358789103436,80.3929633485236,"139",80.3929633485236,100,"Chili",249218,"OH139","Richland County, Ohio","5qnx","Chili and Conotton soils, 25 to 40 percent slopes",17.5020537344401,TRUE,48,"alfisols","typic hapludalfs","Fine-loamy, mixed, mesic Typic Hapludalfs","well",33,112,250,0,42.8999996185303,40.8500003814697,16.25,1.375,6.49999994784594,5.5,0,53.7873328908285,33.1093337758382,13.1033333333333,0.709666665792465,12.550000037998,"none",25,0,"outwash",NA,"outwash terrace","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
