"Series","ES","dmuiid","MLRA","LRU","coiid","areasymbol","areaname","lmapunitiid","muiid","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","grpname","Site111"
"12 inches of surface sediment",NA,127283,"111B",NA,1344352,"OH175","Wyandot County, Ohio",169648,169648,"5pjj","Olentangy mucky silt loam",18.4745324294169,FALSE,2,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-FIN Findlay, Ohio","Not"
"2 to 6 percent slopes",NA,125756,"111B",NA,289117,"OH161","Van Wert County, Ohio",168083,168083,"5mx1","Haney loam, 0 to 2 percent slopes",18.673218683763,FALSE,NA,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,NA,"no",250,"12-FIN Findlay, Ohio","Not"
"3 to 6 percent slopes",NA,125768,"111B",NA,289144,"OH161","Van Wert County, Ohio",168095,168095,"5mxf","McGary silt loam",18.7629705954289,FALSE,NA,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,NA,"no",250,"12-FIN Findlay, Ohio","Not"
"48 to 80 inches deep to substratum",NA,127559,"111B",NA,1221093,"OH107","Mercer County, Ohio",169926,169926,"5pth","Digby loam, 2 to 6 percent slopes",18.8145827085234,FALSE,NA,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,NA,"no",250,"12-FIN Findlay, Ohio","Not"
"Adrian","R111BY001IN",146240,"111B",NA,271356,"MI091","Lenawee County, Michigan",188425,188425,"6b27","Adrian muck, 0 to 3 percent slopes",17.5889122084444,TRUE,100,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",1,81,250,0,10,50,40,82.5,20.0000002980232,6.19999980926514,6.44,47.7659992980957,27.8739999890327,24.36,44.665,36.5400003902614,"none",81,0,"organic, herbaceous material & glaciofluvial deposits",NA,"depression & strand plain","yes","no",0,"12-FIN Findlay, Ohio","Mineral Muck"
"Adrian","R111BY001IN",692387,"111B",NA,2429849,"IN003","Allen County, Indiana",164693,2598195,"2t6mr","Gilford fine sandy loam, till plain, 0 to 2 percent slopes",18.0804263958472,FALSE,3,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",0,86,250,0.4,0,0,0,59,20.9999993443489,5.34000015258789,0.8,38.4,2.98666666666667,1.28,32.0933333333333,39.9599987864494,"none",86,0.899999976158142,"organic, herbaceous material & glaciofluvial deposits",NA,"depression & glacial drainage channel & glacial drainage channel & depression","yes","no",0,"12-FIN Findlay, Ohio","Mineral Muck"
"Adrian","R111BY001IN",692387,"111B",NA,2429849,"OH171","Williams County, Ohio",168153,2598195,"2t6mr","Gilford fine sandy loam, till plain, 0 to 2 percent slopes",18.0804263958472,FALSE,3,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",0,86,250,0.4,0,0,0,59,20.9999993443489,5.34000015258789,0.8,38.4,2.98666666666667,1.28,32.0933333333333,39.9599987864494,"none",86,0.899999976158142,"organic, herbaceous material & glaciofluvial deposits",NA,"depression & glacial drainage channel & glacial drainage channel & depression","yes","no",0,"12-FIN Findlay, Ohio","Mineral Muck"
"Aeric Epiaquents",NA,594073,"111B",NA,2134645,"OH101","Marion County, Ohio",2569805,2517679,"2qhvg","Urban land-Typic Endoaquents-Pewamo complex, 0 to 3 percent slopes",18.3050272275398,FALSE,5,"entisols","aeric epiaquents","Mesic Aeric Epiaquents","somewhat poorly",1,0,250,8,24,38,38,0.25,4.50000017881393,7.19999980926514,5.94666666666667,22.4533333333333,39.7333333333333,37.8133333333333,0.318333333333333,13.0800004303455,"none",0,0,"human-transported material & till, unspecified","NA & limestone and shale","till plain","no","no",50,"12-FIN Findlay, Ohio","Till Ridge"
"Aeric Epiaquents",NA,594074,"111B",NA,1974593,"OH101","Marion County, Ohio",2569801,2517680,"2qhvh","Urban land-Aeric Epiaquents-Blount complex, 0 to 3 percent slopes",18.3154210341152,TRUE,35,"entisols","aeric epiaquents","Mesic Aeric Epiaquents","somewhat poorly",1,0,250,8,24,38,38,0.25,4.50000017881393,7.19999980926514,5.94666666666667,22.4533333333333,39.7333333333333,37.8133333333333,0.318333333333333,13.0800004303455,"none",0,0,"human-transported material & till, unspecified","NA & limestone and shale","till plain","no","no",50,"12-FIN Findlay, Ohio","Till Ridge"
"Aeric Epiaquents",NA,594072,"111B",NA,2134631,"OH101","Marion County, Ohio",2569802,2517678,"2qhvf","Urban land-Alfic Udarents-Glynwood complex, 1 to 8 percent slopes",18.3312646047864,FALSE,5,"entisols","aeric epiaquents","Mesic Aeric Epiaquents","somewhat poorly",1,0,250,8,24,38,38,0.25,4.50000017881393,7.19999980926514,5.94666666666667,22.4533333333333,39.7333333333333,37.8133333333333,0.318333333333333,13.0800004303455,"none",0,0,"human-transported material & till, unspecified","NA & limestone and shale","till plain","no","no",50,"12-FIN Findlay, Ohio","Till Ridge"
