"dmuiid","MLRA","LRU","compname","coiid","areasymbol","areaname","lmapunitiid","muiid","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","Site","grpname"
118387,"97","97B","Borrow pits",236602,"IN089","Lake County, Indiana",272446,272446,"94hl","Borrow pits",18.8542938040407,TRUE,100,NA,NA,NA,"well",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"unranked","no",250,NA,"12-GRR Grand Rapids, Michigan"
118389,"97","97B","Brems",236605,"IN089","Lake County, Indiana",272448,272448,"94hn","Brems fine sand, 0 to 4 percent slopes",18.8668593558324,TRUE,90,"entisols","aquic udipsamments","Mixed, mesic Aquic Udipsamments","moderately well",2,250,250,5.92,89.04,7.22,3.74,0.575,3.62999998778105,5.43000019073486,7.30666666666667,88.3466666666667,7.74,3.91333333333333,0.358333333333333,8.85999994724989,"none",0,0,"outwash",NA,"outwash plain","no","no",100,"F097XA006MI","12-GRR Grand Rapids, Michigan"
118389,"97","97B","Maumee",236607,"IN089","Lake County, Indiana",272448,272448,"94hn","Brems fine sand, 0 to 4 percent slopes",18.8668593558324,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118389,"97","97B","Gilford",236606,"IN089","Lake County, Indiana",272448,272448,"94hn","Brems fine sand, 0 to 4 percent slopes",18.8668593558324,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118392,"97","97B","Rensselaer",236611,"IN089","Lake County, Indiana",272451,272451,"94hr","Darroch loam",18.7392020525909,FALSE,10,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118392,"97","97B","Darroch",236610,"IN089","Lake County, Indiana",272451,272451,"94hr","Darroch loam",18.7392020525909,TRUE,90,"mollisols","aquic argiudolls","Fine-loamy, mixed, superactive, mesic Aquic Argiudolls","somewhat poorly",1,112,250,8.04,39.62,40,20.38,2.235,10.6600000113249,6.5,8.92,47.62,32.48,19.9,1.11833333333333,28.9800002425909,"none",33,0,"outwash",NA,"outwash plain","no","no",50,"R097XB046IL","12-GRR Grand Rapids, Michigan"
118393,"97","97B","Bono",236613,"IN089","Lake County, Indiana",272452,272452,"94hs","Del Rey silt loam",18.8040427444116,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118393,"97","97B","Del Rey",236612,"IN089","Lake County, Indiana",272452,272452,"94hs","Del Rey silt loam",18.8040427444116,TRUE,90,"alfisols","aeric epiaqualfs","Fine, illitic, mesic Aeric Epiaqualfs","somewhat poorly",1,20,250,0,14.2,55,30.8,1.45,8.39999988675117,6.26000003814697,0,15.2466666666667,52.6866666666667,32.0666666666667,0.983333333333333,19.7500001043081,"none",20,0,"lacustrine deposits",NA,"lake plain","no","no",50,"R097XB046IL","12-GRR Grand Rapids, Michigan"
118393,"97","97B","Milford",236614,"IN089","Lake County, Indiana",272452,272452,"94hs","Del Rey silt loam",18.8040427444116,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118394,"97","97B","Del Rey",236615,"IN089","Lake County, Indiana",272453,272453,"94ht","Del Rey silt loam, dark colored variant",18.797152453861,TRUE,90,"alfisols","udollic endoaqualfs","Fine, illitic, mesic Udollic Endoaqualfs","somewhat poorly",1,33,250,0,16.94,56.94,26.12,2.49,9.97000014781952,5.80000019073486,0,13.7266666666667,53.54,32.7333333333333,1.69,22.5700002908707,"none",33,0,"lacustrine deposits",NA,"lake plain","no","no",50,"R097XB046IL","12-GRR Grand Rapids, Michigan"
118394,"97","97B","Milford",236616,"IN089","Lake County, Indiana",272453,272453,"94ht","Del Rey silt loam, dark colored variant",18.797152453861,FALSE,10,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,NA,"12-GRR Grand Rapids, Michigan"
118398,"97","97B","Dune land",236623,"IN089","Lake County, Indiana",272457,272457,"94hy","Dune land",18.9288535665686,TRUE,100,NA,NA,NA,"well",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"eolian sands",NA,NA,"unranked","no",250,"R097XA001MI","12-GRR Grand Rapids, Michigan"
118403,"97","97B","Lake beaches",236630,"IN089","Lake County, Indiana",272462,272462,"94j3","Lake beaches",18.9309643411356,TRUE,100,NA,NA,NA,"well",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"beach sand",NA,NA,"unranked","no",250,NA,"12-GRR Grand Rapids, Michigan"
118408,"97","97B","Marl beds",236639,"IN089","Lake County, Indiana",272467,272467,"94j8","Marl beds",19.0228463441571,TRUE,100,NA,NA,NA,"very poorly",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"organic, herbaceous material & marl",NA,"depression","yes","no",0,NA,"12-GRR Grand Rapids, Michigan"
118409,"97","97B","Marsh",236640,"IN089","Lake County, Indiana",272468,272468,"94j9","Marsh",18.7749984776451,TRUE,100,NA,NA,NA,"very poorly",0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",0,NA,"12-GRR Grand Rapids, Michigan"
118411,"97","97B","Maumee",236642,"IN089","Lake County, Indiana",272470,272470,"94jc","Maumee silt loam",18.9395223811821,TRUE,100,"mollisols","typic endoaquolls","Sandy, mixed, mesic Typic Endoaquolls","poorly",1,31,250,3.04,43.88,42.58,13.54,2.335,7.64999977126718,6.69,6.34666666666667,75.2933333333333,18.1933333333333,6.51333333333333,1.61166666666667,13.6499996371567,"none",31,0,"outwash",NA,"depression & outwash plain","yes","no",25,"R097XB047IL","12-GRR Grand Rapids, Michigan"
