"","dmuiid","lmapunitiid","muiid","MLRARSYM","Count","percentmlra","pmlra","mu.total","affinity","LRU","best","ofbest","compname","coiid","areasymbol","areaname","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","grpname"
"5232",118384,272443,272443,"110",6788,0.0287930726955097,0.0287930726955097,0.0615921274614867,46.7479755647568,"110",46.7479755647568,100,"Alida",236597,"IN089","Lake County, Indiana","94hh","Alida loam",18.5412393604303,TRUE,90,"alfisols","aquollic hapludalfs","Fine-loamy, mixed, active, mesic Aquollic Hapludalfs","somewhat poorly",1,250,250,8.64,46.8,34.48,18.72,1.59,8.21999993920326,5.67199989318848,14.2,58.0266666666667,25.6666666666667,16.3066666666667,0.903333333333333,19.9599999561906,"none",28,0,"outwash",NA,"outwash plain","no","no",50,"12-GRR Grand Rapids, Michigan"
"5233",118384,272443,272443,"110",6788,0.0287930726955097,0.0287930726955097,0.0615921274614867,46.7479755647568,"110",46.7479755647568,100,"Rensselaer",236598,"IN089","Lake County, Indiana","94hh","Alida loam",18.5412393604303,FALSE,10,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-GRR Grand Rapids, Michigan"
"5234",118386,272445,272445,"110",14592,0.0618957744214609,0.0618957744214609,0.120571286413704,51.3354184586572,"110",51.3354184586572,100,"Bono",236601,"IN089","Lake County, Indiana","94hk","Bono silty clay",18.8270320144754,TRUE,100,"mollisols","typic endoaquolls","Fine, illitic, mesic Typic Endoaquolls","very poorly",1,53,250,0,6,52,42,5,11.5000002086163,6.69999980926514,0,6.64666666666667,50.1933333333333,43.16,3.36666666666667,25.3100000321865,"none",99,0,"lacustrine deposits",NA,"depression & lake plain","yes","no",0,"12-GRR Grand Rapids, Michigan"
"5277",118395,272454,272454,"110",4461,0.0189224951818899,0.0189224951818899,0.0388596063189668,48.6945107641352,"110",48.6945107641352,100,"poorly drained aqualfs",236618,"IN089","Lake County, Indiana","94hv","Door loam, 0 to 2 percent slopes",18.5484212964362,FALSE,10,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-GRR Grand Rapids, Michigan"
"5278",118395,272454,272454,"110",4461,0.0189224951818899,0.0189224951818899,0.0388596063189668,48.6945107641352,"110",48.6945107641352,100,"Door",236617,"IN089","Lake County, Indiana","94hv","Door loam, 0 to 2 percent slopes",18.5484212964362,TRUE,90,"alfisols","ultic hapludalfs","Fine-loamy, mixed, active, mesic Ultic Hapludalfs","well",1,250,250,5.98,47.42,32.46,20.12,2.685,8.06999985873699,6.33200002670288,16.0933333333333,59.8066666666667,22.0066666666667,18.1866666666667,1.285,19.6099999230355,"none",43,0,"outwash",NA,"outwash plain","no","no",250,"12-GRR Grand Rapids, Michigan"
"5280",118396,272455,272455,"110",1708,0.00724492754330149,0.00724492754330149,0.0109213847056394,66.337078480172,"110",66.337078480172,100,"poorly drained aqualfs",236620,"IN089","Lake County, Indiana","94hw","Door loam, 2 to 6 percent slopes",18.520882454823,FALSE,10,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-GRR Grand Rapids, Michigan"
"5281",118396,272455,272455,"110",1708,0.00724492754330149,0.00724492754330149,0.0109213847056394,66.337078480172,"110",66.337078480172,100,"Door",236619,"IN089","Lake County, Indiana","94hw","Door loam, 2 to 6 percent slopes",18.520882454823,TRUE,90,"alfisols","ultic hapludalfs","Fine-loamy, mixed, active, mesic Ultic Hapludalfs","well",4,250,250,5.98,47.42,32.46,20.12,2.685,8.06999985873699,6.33200002670288,16.0933333333333,59.8066666666667,22.0066666666667,18.1866666666667,1.285,19.6099999230355,"none",43,0,"outwash",NA,"outwash plain","no","no",250,"12-GRR Grand Rapids, Michigan"
"5287",118397,272456,272456,"110",1916,0.00812721380150213,0.00812721380150213,0.00905605347390184,89.7434387387786,"110",89.7434387387786,100,"Door",236621,"IN089","Lake County, Indiana","94hx","Door loam, silty clay loam substratum, 2 to 6 percent slopes",18.4508134025176,TRUE,90,"alfisols","ultic hapludalfs","Fine-loamy, mixed, active, mesic Ultic Hapludalfs","well",4,117,250,5.98,47.42,32.46,20.12,2.685,8.06999985873699,5.73000019073486,8.67333333333333,42.54,31.8733333333333,25.5866666666667,1.395,20.1199999637902,"none",43,0,"outwash & till, unspecified",NA,"outwash plain","no","no",250,"12-GRR Grand Rapids, Michigan"
"5289",118397,272456,272456,"110",1916,0.00812721380150213,0.00812721380150213,0.00905605347390184,89.7434387387786,"110",89.7434387387786,100,"poorly drained aqualfs",236622,"IN089","Lake County, Indiana","94hx","Door loam, silty clay loam substratum, 2 to 6 percent slopes",18.4508134025176,FALSE,10,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-GRR Grand Rapids, Michigan"
"5306",118406,272465,272465,"110",2410,0.0102226436647287,0.0102226436647287,0.0119876771535036,85.2762677358302,"110",85.2762677358302,100,"Lydick",236634,"IN089","Lake County, Indiana","94j6","Lydick loam, 2 to 6 percent slopes",18.4838989903921,TRUE,90,"alfisols","mollic hapludalfs","Fine-loamy, mixed, active, mesic Mollic Hapludalfs","well",4,250,250,9,48.5,28,23.5,1.875,8.50000008940697,5.75,10.9333333333333,50.1666666666667,24.8666666666667,24.9666666666667,1.125,26.1000007390976,"none",25,0,"outwash & outwash",NA,"outwash terrace","no","no",250,"12-GRR Grand Rapids, Michigan"
