"Series","ES","dmuiid","MLRA","LRU","coiid","areasymbol","areaname","lmapunitiid","muiid","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","grpname","Site111"
"14 to 30 inches of silt loam over the muck",NA,128952,"111A",NA,1253381,"OH129","Pickaway County, Ohio",171269,171269,"5r6t","Linwood muck",19.4486603215963,FALSE,6,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"bog","yes","no",25,"12-IND Indianapolis, Indiana","Not"
"20-60 inches of muck over mineral material",NA,125555,"111A",NA,1177882,"OH049","Franklin County, Ohio",167882,167882,"5mpk","Carlisle muck",19.5639045842489,FALSE,5,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,NA,"no",250,"12-IND Indianapolis, Indiana","Not"
"4 to 12 inches of overwash on the surface",NA,129363,"111A",NA,1308941,"OH071","Highland County, Ohio",1420536,1420536,"1jp5r","Warsaw silt loam, 0 to 2 percent slopes",19.0710980579106,FALSE,NA,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,NA,"no",250,"12-IND Indianapolis, Indiana","Not"
"40-60% gravel in lower subsoil; sand and gravel substratum",NA,128800,"111A",NA,1359070,"OH091","Logan County, Ohio",171117,171117,"5r1x","Gallman loam, 1 to 4 percent slopes",18.5243168711055,FALSE,NA,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,NA,"no",250,"12-FIN Findlay, Ohio","Not"
"Abscota Variant","F111AY005IN",128995,"111A",NA,250245,"OH165","Warren County, Ohio",171312,171312,"5r86","Abscota sand, calcareous variant",19.823809061654,TRUE,100,"entisols","typic udipsamments","Mixed, mesic Typic Udipsamments","well",1,0,250,0,90.1399978637695,4.4600001335144,5.4,1.8,3.59999991953373,7.90000009536743,0,89.5526647949219,4.93400011698405,5.51333333333333,0.971000003417333,7.87999982386827,"flood",30,0,"alluvium",NA,"flood plain","no","no",250,"12-IND Indianapolis, Indiana","Dry Alluvium Forest"
"Adrian","F111AY001IN",129446,"111A",NA,251055,"OH113","Montgomery County, Ohio",2232537,2232537,"2dy4b","Sloan silt loam, sandy substratum, occasionally flooded",19.057080426751,FALSE,5,"histosols","terric medisaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Medisaprists","very poorly",1,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"organic, herbaceous material & glaciofluvial deposits",NA,"depression","yes","no",0,"12-IND Indianapolis, Indiana","Mineral Muck"
"Adrian","F111AY001IN",128512,"111A",NA,249313,"OH141","Ross County, Ohio",170832,170832,"5qrq","Adrian muck",19.1645171704438,TRUE,90,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",1,250,250,0,0,0,0,65,20.0000002980232,6.5,0,53.2666666666667,5.64,3.76,24.8933333333333,28.0400002077222,"none",56,0,"organic, grassy material & outwash",NA,"depression & outwash plain","yes","no",0,"12-IND Indianapolis, Indiana","Mineral Muck"
"Adrian","F111AY001IN",129446,"111A",NA,251055,"OH097","Madison County, Ohio",1402818,1402818,"1j2r6","Sloan silt loam, sandy substratum, occasionally flooded",19.057080426751,FALSE,5,"histosols","terric medisaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Medisaprists","very poorly",1,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"organic, herbaceous material & glaciofluvial deposits",NA,"depression","yes","no",0,"12-IND Indianapolis, Indiana","Mineral Muck"
"Adrian","F111AY001IN",129446,"111A",NA,251055,"OH021","Champaign County, Ohio",1413800,1413800,"1jg5g","Sloan silt loam, sandy substratum, occasionally flooded",19.057080426751,FALSE,5,"histosols","terric medisaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Medisaprists","very poorly",1,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"organic, herbaceous material & glaciofluvial deposits",NA,"depression","yes","no",0,"12-IND Indianapolis, Indiana","Mineral Muck"
"Adrian","F111AY001IN",749848,"111A",NA,2638578,"OH047","Fayette County, Ohio",1907594,2656439,"2w57l","Westland clay loam, SOTP, 0 to 2 percent slopes",19.2457618340536,FALSE,5,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",1,250,250,0,15,60,25,65,18.0000007152557,6.5,23.1866666666667,58.8666666666667,28.04,13.0933333333333,24.8933333333333,25.8000006750226,"none",56,0,"organic, grassy material & outwash",NA,"depression & outwash terrace","yes","no",0,"12-IND Indianapolis, Indiana","Mineral Muck"
