"Series","ES","dmuiid","MLRA","LRU","coiid","areasymbol","areaname","lmapunitiid","muiid","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","grpname","Site111"
"Algiers","F114BY203IN",120060,"114B",NA,238944,"IN137","Ripley County, Indiana",1479614,1479614,"1lnnh","Algiers silt loam, frequently flooded",19.5133942438257,TRUE,97,"entisols","aquic udifluvents","Fine-loamy, mixed, superactive, nonacid, mesic Aquic Udifluvents","somewhat poorly",0.5,104,250,0,18.8,66.2,15,1.85,10.0000001490116,6.59999990463257,1.10666666666667,27.6266666666667,52.6266666666667,19.7466666666667,1.86333333333333,30.1000000834465,"flood",20,0,"alluvium & alluvium & alluvium",NA,"flood plain","no","no",50,"12-IND Indianapolis, Indiana","F111DY003IN"
"Alvin","F114BY801IN",121076,"114B",NA,1392477,"IN047","Franklin County, Indiana",162257,162257,"5fv3","Alvin sandy loam, 2 to 6 percent slopes",19.5757992322874,TRUE,100,"alfisols","typic hapludalfs","Coarse-loamy, mixed, superactive, mesic Typic Hapludalfs","well",4.09999990463257,117,250,0,58,30,12,1.31999998092651,8.40000003576279,6.83999996185303,0,59.72,28.0333333333333,12.2466666666667,0.700733327368895,21.7599997371435,"none",20,0,"eolian deposits & outwash & outwash",NA,"stream terrace","no","no",250,"12-IND Indianapolis, Indiana","R111CY010IN"
"Alvin","F114BY801IN",530442,"114B",NA,1724757,"IN071","Jackson County, Indiana",1906756,1906756,"22048","Bloomfield-Alvin complex, 6 to 15 percent slopes, eroded",19.7272984124932,TRUE,45,"alfisols","ultic hapludalfs","Coarse-loamy, mixed, superactive, mesic Ultic Hapludalfs","well",10,178,250,0,76.1,14.48,9.42,0.383200001716614,6.28000004589558,6.19999980926514,0,76.94,11.8666666666667,11.1933333333333,0.294400000572205,20.2800001055002,"none",0,0,"eolian deposits & outwash",NA,"dune","no","no",250,"12-IND Indianapolis, Indiana","R111CY010IN"
"Alvin","F114BY801IN",406473,"114B",NA,904106,"IL077","Jackson County, Illinois",1538964,1538964,"1nnf0","Alvin fine sandy loam, 18 to 25 percent slopes",21.0479244241122,TRUE,90,"alfisols","typic hapludalfs","Coarse-loamy, mixed, superactive, mesic Typic Hapludalfs","well",22,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"11-MAN Marion, Illinois",NA
"Alvin","F114BY801IN",531920,"114B",NA,1731630,"IN071","Jackson County, Indiana",1907667,1907667,"2212n","Urban land-Bloomfield-Alvin complex, 6 to 15 percent slopes",19.7123436575004,TRUE,20,"alfisols","ultic hapludalfs","Coarse-loamy, mixed, superactive, mesic Ultic Hapludalfs","well",10,178,250,0,76.1,14.48,9.42,0.383200001716614,6.28000004589558,6.19999980926514,0,76.94,11.8666666666667,11.1933333333333,0.294400000572205,20.2800001055002,"none",0,0,"eolian deposits & outwash",NA,"dune","no","no",250,"12-IND Indianapolis, Indiana","R111CY010IN"
"Alvin","F114BY801IN",137212,"114B",NA,260539,"IL173","Shelby County, Illinois",178986,178986,"607r","Alvin fine sandy loam, 5 to 10 percent slopes",20.3299297229364,TRUE,100,"alfisols","typic hapludalfs","Coarse-loamy, mixed, mesic Typic Hapludalfs","well",8,91,250,0,67.9100009918213,17.4899990081787,14.6,0.4,7.14999988675117,5.90000009536743,1.96666666666667,73.9746662139893,13.545332660675,12.48,0.260666669011116,21.3799994587898,"none",0,0,"eolian deposits",NA,"ridge & stream terrace","no","no",250,"11-MAN Marion, Illinois","Not"
"Alvin","F114BY801IN",489467,"114B",NA,1406011,"IL077","Jackson County, Illinois",1538963,1538963,"1nndz","Alvin loam, 10 to 18 percent slopes, severely eroded",21.0492771725151,TRUE,90,"alfisols","typic hapludalfs","Coarse-loamy, mixed, superactive, mesic Typic Hapludalfs","well",14,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"11-MAN Marion, Illinois",NA
"Alvin","F114BY801IN",490983,"114B",NA,1413389,"IL077","Jackson County, Illinois",1540804,1540804,"1nqbc","Alvin fine sandy loam, 18 to 25 percent slopes, rarely flooded",21.0612263519968,TRUE,90,"alfisols","typic hapludalfs","Coarse-loamy, mixed, superactive, mesic Typic Hapludalfs","well",22,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"flood",0,NA,NA,NA,NA,"no","no",250,"11-MAN Marion, Illinois","F111DY004IN"
"Alvin","F114BY801IN",530441,"114B",NA,1724752,"IN079","Jennings County, Indiana",709132,709132,"rsx7","Bloomfield-Alvin complex, 1 to 6 percent slopes",19.7069089700667,TRUE,45,"alfisols","ultic hapludalfs","Coarse-loamy, mixed, superactive, mesic Ultic Hapludalfs","well",4.09999990463257,178,250,0,76.1,14.48,9.42,0.383200001716614,6.28000004589558,6.19999980926514,0,76.94,11.8666666666667,11.1933333333333,0.294400000572205,20.2800001055002,"none",0,0,"eolian deposits & outwash",NA,"dune","no","no",250,"12-IND Indianapolis, Indiana","R111CY010IN"
"Alvin","F114BY801IN",121075,"114B",NA,240536,"IN047","Franklin County, Indiana",162256,162256,"5fv2","Alvin sandy loam, 0 to 2 percent slopes",19.5818183696483,TRUE,100,"alfisols","typic hapludalfs","Coarse-loamy, mixed, superactive, mesic Typic Hapludalfs","well",1,117,250,0,59.5,29.5,11,1.52499997615814,8.50000008940697,6.79999995231628,0,60.22,27.8666666666667,11.9133333333333,0.769066659112771,21.8599997907877,"none",25,0,"eolian deposits & outwash & outwash",NA,"stream terrace","no","no",250,"12-IND Indianapolis, Indiana","R111CY010IN"
"Alvin","F114BY801IN",530441,"114B",NA,1724752,"IN071","Jackson County, Indiana",1906755,1906755,"22047","Bloomfield-Alvin complex, 1 to 6 percent slopes",19.7069089700667,TRUE,45,"alfisols","ultic hapludalfs","Coarse-loamy, mixed, superactive, mesic Ultic Hapludalfs","well",4.09999990463257,178,250,0,76.1,14.48,9.42,0.383200001716614,6.28000004589558,6.19999980926514,0,76.94,11.8666666666667,11.1933333333333,0.294400000572205,20.2800001055002,"none",0,0,"eolian deposits & outwash",NA,"dune","no","no",250,"12-IND Indianapolis, Indiana","R111CY010IN"
"Alvin","F114BY801IN",530672,"114B",NA,1726003,"IN071","Jackson County, Indiana",1906754,1906754,"22046","Bloomfield fine sand, 15 to 45 percent slopes",19.7441406672504,FALSE,5,"alfisols","ultic hapludalfs","Coarse-loamy, mixed, superactive, mesic Ultic Hapludalfs","well",10,178,250,0,76.1,14.48,9.42,0.383200001716614,6.28000004589558,6.19999980926514,0,76.94,11.8666666666667,11.1933333333333,0.294400000572205,20.2800001055002,"none",0,0,"eolian deposits & outwash",NA,"dune","no","no",250,"12-IND Indianapolis, Indiana","R111CY010IN"
"Alvin","F114BY801IN",490981,"114B",NA,1413384,"IL077","Jackson County, Illinois",1540803,1540803,"1nqbb","Alvin loam, 10 to 18 percent slopes, severely eroded, rarely flooded",21.2394543567174,TRUE,90,"alfisols","typic hapludalfs","Coarse-loamy, mixed, superactive, mesic Typic Hapludalfs","well",14,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"flood",0,NA,NA,NA,NA,"no","no",250,"11-MAN Marion, Illinois","F111DY004IN"
"Alvin","F114BY801IN",531919,"114B",NA,1731626,"IN071","Jackson County, Indiana",1907666,1907666,"2212m","Urban land-Bloomfield-Alvin complex, 1 to 6 percent slopes",19.7078819147475,TRUE,20,"alfisols","ultic hapludalfs","Coarse-loamy, mixed, superactive, mesic Ultic Hapludalfs","well",4.09999990463257,178,250,0,76.1,14.48,9.42,0.383200001716614,6.28000004589558,6.19999980926514,0,76.94,11.8666666666667,11.1933333333333,0.294400000572205,20.2800001055002,"none",0,0,"eolian deposits & outwash",NA,"dune","no","no",250,"12-IND Indianapolis, Indiana","R111CY010IN"
"Alvin","F114BY801IN",132522,"114B",NA,254432,"IL027","Clinton County, Illinois",174647,174647,"5vqs","Alvin silt loam, 0 to 2 percent slopes, frequently flooded",20.969077890041,TRUE,100,"alfisols","typic hapludalfs","TYPIC HAPLUDALFS, COARSE-LOAMY, MIXED, MESIC","well",1,250,250,2.56,51.012001953125,31.227998046875,17.76,0.75,9.12000009417534,5.51600015640259,3.67333333333333,64.3133353169759,20.2999977787336,15.3866666666667,0.75,23.200000539422,"flood",0,0,"alluvium",NA,"terrace","no","no",250,"11-MAN Marion, Illinois","F111DY004IN"
"Alvin","F114BY801IN",142167,"114B",NA,265219,"IL163","St. Clair County, Illinois",183133,183133,"64kj","Alvin fine sandy loam, 2 to 5 percent slopes, occasionally flooded",21.1880312020172,TRUE,85,"alfisols","typic hapludalfs","Coarse-loamy, mixed, superactive, mesic Typic Hapludalfs","well",4,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"flood",0,NA,NA,NA,NA,"no","no",250,"11-MAN Marion, Illinois","F111DY004IN"
"Aquents",NA,131471,"114B",NA,1544903,"IL051","Fayette County, Illinois",173393,173393,"5tfb","Holton silt loam, frequently flooded",20.3912676099229,FALSE,NA,"entisols",NA,"AERIC FLUVAQUENTS, COARSE-LOAMY, MIXED, NONACID, MESIC","somewhat poorly",1,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"flood",0,NA,NA,NA,NA,"no","no",50,"11-MAN Marion, Illinois","F111DY003IN"
"Aquents",NA,137232,"114B",NA,1526592,"IL173","Shelby County, Illinois",179018,179018,"608s","Huntsville silt loam, 0 to 3 percent slopes, frequently flooded",20.3491362845772,FALSE,NA,"entisols","typic fluvaquents","TYPIC FLUVAQUENTS, FINE-SILTY, MIXED, NONACID, MESIC","poorly",1,250,250,2,10.0699998855591,68.1799995422363,21.75,1.3,10.799999833107,6.55999994277954,2,9.68999996185303,68.0599998474121,22.25,1.1,31.7999991774559,"flood",15,0,"alluvium",NA,"flood plain","yes","no",25,"11-MAN Marion, Illinois","F111DY003IN"
"Aquents",NA,137234,"114B",NA,1526593,"IL173","Shelby County, Illinois",179020,179020,"608v","Holton silt loam, frequently flooded",20.311302905002,FALSE,NA,"entisols","typic fluvaquents","TYPIC FLUVAQUENTS, FINE-SILTY, MIXED, NONACID, MESIC","poorly",1,250,250,2,10.0699998855591,68.1799995422363,21.75,1.3,10.799999833107,6.55999994277954,2,9.68999996185303,68.0599998474121,22.25,1.1,31.7999991774559,"flood",15,0,"alluvium",NA,"flood plain","yes","no",25,"11-MAN Marion, Illinois","F111DY003IN"
"Aquents",NA,153977,"114B",NA,281878,"IN019","Clark County, Indiana",210847,210847,"72dj","Urban land-Aquents, clayey substratum, complex, lake plain, 0 to 3 percent slopes",21.5244682075127,TRUE,25,"entisols",NA,"Clayey Aquents",NA,0.5,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"lake plain","unranked","no",250,"12-IND Indianapolis, Indiana",NA
"Aquents",NA,153977,"114B",NA,281878,"IN043","Floyd County, Indiana",185201,185201,"66q7","Urban land-Aquents, clayey substratum, complex, lake plain, 0 to 3 percent slopes",21.5244682075127,TRUE,25,"entisols",NA,"Clayey Aquents",NA,0.5,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"lake plain","unranked","no",250,"12-IND Indianapolis, Indiana",NA
"Aquents",NA,533673,"114B",NA,1740188,"IN071","Jackson County, Indiana",1907659,1907659,"2212d","Udorthents-Aquents complex",19.7583645589574,FALSE,5,"entisols",NA,"Aquents","poorly",1,250,250,1,57.2,34.8,8,0.9,5.90000003576279,6.5,1,61.5933333333333,25.0666666666667,13.34,0.485,14.9000003933907,"flood",0,0,NA,NA,"flood plain","yes","no",25,"12-IND Indianapolis, Indiana","F111DY003IN"
"Aquents",NA,533673,"114B",NA,1740185,"IN071","Jackson County, Indiana",1907659,1907659,"2212d","Udorthents-Aquents complex",19.7583645589574,TRUE,35,"entisols",NA,"Aquents","somewhat poorly",0.899999976158142,250,250,1,57.2,34.8,8,0.9,5.90000003576279,6.5,1,61.5933333333333,25.0666666666667,13.34,0.485,14.9000003933907,"none",0,0,"drift",NA,"interdune & terrace","no","no",50,"12-IND Indianapolis, Indiana","R111CY006IN"
"Armiesburg","F114BY204IN",530663,"114B",NA,1725968,"IN071","Jackson County, Indiana",1906748,1906748,"22040","Armiesburg silty clay loam, sandy substratum, 0 to 2 percent slopes, frequently flooded, brief duration",19.6411611453379,TRUE,92,"mollisols","fluventic hapludolls","Fine-silty, mixed, superactive, mesic Fluventic Hapludolls","well",1,147,250,0,16.52,54.52,28.96,2,11.3999997675419,6.69999980926514,0.06,17.0066666666667,52.5866666666667,30.4066666666667,1.985,30.0699995309114,"flood",38,0,"alluvium & alluvium",NA,"flood plain","no","no",250,"12-IND Indianapolis, Indiana","F111DY004IN"
"Assumption","R114BY903IN",152390,"114B",NA,1567533,"IL117","Macoupin County, Illinois",199261,199261,"6pbs","Velma silt loam, 10 to 18 percent slopes",20.4153371494374,FALSE,NA,"mollisols","oxyaquic argiudolls","Fine-silty, mixed, superactive, mesic Oxyaquic Argiudolls","moderately well",3.5,152,250,0,4,70.74,25.26,2.96,11.639999806881,6.44599996566772,1.62666666666667,12.54,55.5266666666667,31.9333333333333,1.21833333333333,29.8100000321865,"none",41,0,"loess & till, unspecified",NA,"ground moraine","no","no",100,"11-MAN Marion, Illinois","R111CY006IN"
"Assumption","R114BY903IN",657028,"114B",NA,2159133,"IL135","Montgomery County, Illinois",1721397,2551126,"2rmnd","Assumption silt loam, 5 to 10 percent slopes, eroded",20.3463678861731,TRUE,90,"alfisols","mollic oxyaquic hapludalfs","Fine-silty, mixed, superactive, mesic Mollic Oxyaquic Hapludalfs","moderately well",8,135,250,0,4,67.8,28.2,1.45,10.7999999821186,6.31999988555908,2.8,15.76,50.2533333333333,33.9866666666667,0.818333333333333,24.0799998044968,"none",20,1,"loess & till, unspecified",NA,"ground moraine","no","no",100,"11-SPR Springfield, Illinois","R111CY006IN"
"Assumption","R114BY903IN",657028,"114B",NA,2159133,"IL117","Macoupin County, Illinois",199186,2551126,"2rmnd","Assumption silt loam, 5 to 10 percent slopes, eroded",20.3463678861731,TRUE,90,"alfisols","mollic oxyaquic hapludalfs","Fine-silty, mixed, superactive, mesic Mollic Oxyaquic Hapludalfs","moderately well",8,135,250,0,4,67.8,28.2,1.45,10.7999999821186,6.31999988555908,2.8,15.76,50.2533333333333,33.9866666666667,0.818333333333333,24.0799998044968,"none",20,1,"loess & till, unspecified",NA,"ground moraine","no","no",100,"11-SPR Springfield, Illinois","R111CY006IN"
"Assumption","R114BY903IN",657028,"114B",NA,2159133,"IL021","Christian County, Illinois",261697,2551126,"2rmnd","Assumption silt loam, 5 to 10 percent slopes, eroded",20.3463678861731,TRUE,90,"alfisols","mollic oxyaquic hapludalfs","Fine-silty, mixed, superactive, mesic Mollic Oxyaquic Hapludalfs","moderately well",8,135,250,0,4,67.8,28.2,1.45,10.7999999821186,6.31999988555908,2.8,15.76,50.2533333333333,33.9866666666667,0.818333333333333,24.0799998044968,"none",20,1,"loess & till, unspecified",NA,"ground moraine","no","no",100,"11-SPR Springfield, Illinois","R111CY006IN"
"Assumption","R114BY903IN",828773,"114B",NA,2640529,"IL117","Macoupin County, Illinois",199185,2551125,"2rmnc","Assumption silt loam, 2 to 5 percent slopes, eroded",20.4074196437566,TRUE,95,"alfisols","aquollic hapludalfs","Fine-silty, mixed, superactive, mesic Aquollic Hapludalfs","moderately well",4,250,250,0,4,67.1,28.9,1.275,10.6000000238419,6.2899998664856,1.96666666666667,12.26,54.6866666666667,33.0533333333333,0.826666666666667,25.879999987781,"none",15,1,"loess & till, unspecified",NA,"ground moraine","no","no",100,"11-SPR Springfield, Illinois","R111CY006IN"
