"nationalmusym","muname","mutype"
"682f","Cohoctah fine sandy loam",NA
"6806","Selfridge-Capac complex, 0 to 5 percent slopes",NA
"680c","Spinks-Metea-Coloma complex, 1 to 6 percent slopes",NA
"680d","Spinks-Metea-Coloma complex, 6 to 12 percent slopes",NA
"680f","Spinks-Metea complex, 12 to 25 percent slopes",NA
"680l","Granby mucky sand",NA
"680v","Watseka loamy sand, 0 to 4 percent slopes",NA
"680y","Coloma sand, 12 to 30 percent slopes",NA
"6812","Boyer loamy sand, 0 to 6 percent slopes",NA
"6815","Boyer loamy sand, 18 to 40 percent slopes",NA
"681d","Metea-Marlette-Spinks complex, 1 to 6 percent slopes",NA
"681f","Metea-Marlette-Spinks complex, 6 to 12 percent slopes",NA
"681g","Metea-Marlette-Spinks complex, 6 to 12 percent slopes, eroded",NA
"681h","Metea-Spinks-Marlette complex, 12 to 25 percent slopes",NA
"681j","Metea-Spinks complex, 25 to 40 percent slopes",NA
"681k","Metea loamy sand, 1 to 6 percent slopes",NA
"681l","Metea loamy sand, 6 to 12 percent slopes",NA
"681x","Toogood loamy sand, 6 to 12 percent slopes",NA
"681y","Toogood loamy sand, 12 to 18 percent slopes",NA
"6821","Thetford loamy fine sand, 0 to 4 percent slopes",NA
"6824","Sickles loamy fine sand",NA
"6829","Jebavy sand",NA
"682c","Udorthents, loamy, nearly level and gently sloping",NA
"682g","Algansee loamy fine sand",NA
"682h","Ceresco fine sandy loam",NA
"682m","Plainfield sand, 18 to 35 percent slopes",NA
"682n","Plainfield sand, 35 to 50 percent slopes",NA
"682p","Selfridge loamy sand, 0 to 4 percent slopes",NA
"682s","Abscota loamy sand, 0 to 3 percent slopes",NA
"67zn","Grattan sand, banded substratum, 6 to 18 percent slopes",NA
"67zt","Grattan-Coloma complex, 0 to 6 percent slopes",NA
"67zv","Grattan-Coloma complex, 6 to 18 percent slopes",NA
"67zx","Grattan, banded substratum-Coloma complex, 0 to 6 percent slopes",NA
"67zy","Grattan, banded substratum-Coloma complex, 6 to 18 percent slopes",NA
"67zz","Grattan, banded substratum-Coloma complex, 18 to 30 percent slopes",NA
"6801","Grattan, banded substratum-Metea complex, 6 to 18 percent slopes",NA
"6802","Grattan, banded substratum-Metea complex, 18 to 30 percent slopes",NA
"6804","Metea-Tustin complex, 0 to 6 percent slopes",NA
"6805","Metea-Tustin complex, 6 to 18 percent slopes",NA
"6858","Coloma sand, 12 to 18 percent slopes",NA
