"ES","MLRARSYM","Series","coiid","muname"
"F111AY005IN","111A","Abscota Variant",250245,"Abscota sand, calcareous variant"
"F111AY001IN","111A","Adrian",250836,"Adrian muck, drained"
"F111AY001IN","111A","Adrian",250837,"Adrian muck, undrained"
"F111AY001IN","111A","Adrian",249313,"Adrian muck"
"F111AY009IN","111A","Alexandria",249319,"Alexandria silt loam, 12 to 20 percent slopes, eroded"
"F111AY009IN","111A","Alexandria",249316,"Alexandria silt loam, 6 to 12 percent slopes, eroded"
"F111AY009IN","111A","Alexandria",249322,"Alexandria silt loam, 20 to 35 percent slopes, eroded"
"F111AY009IN","111A","Alexandria",249325,"Alexandria-Fox complex, 20 to 35 percent slopes, eroded"
"F111AY004IN","111A","Algiers",245996,"Algiers silt loam, occasionally flooded"
"F111AY004IN","111A","Algiers",246638,"Algiers silt loam"
"F111AY004IN","111A","Algiers",250117,"Algiers silt loam"
"F111AY004IN","111A","Algiers",244923,"Algiers silt loam"
"F111AY004IN","111A","Algiers",250428,"Algiers silt loam"
"F111AY004IN","111A","Algiers",247115,"Algiers silt loam"
"F111AY022IN","111A","Alvin",276516,"Alvin-Princeton fine sandy loams, 6 to 12 percent slopes, eroded"
"F111AY022IN","111A","Alvin",898598,"Urban land-Alvin-Princeton complex, 2 to 6 percent slopes"
"F111AY022IN","111A","Alvin",276514,"Alvin-Princeton fine sandy loams, 2 to 6 percent slopes"
"F111AY022IN","111A","Alvin",898615,"Urban land-Alvin-Princeton complex, 6 to 12 percent slopes"
"F111AY022IN","111A","Alvin",289223,"Bloomfield-Alvin loamy sands, 6 to 12 percent slopes"
"F111AY009IN","111A","Amanda",251656,"Amanda silt loam, 20 to 35 percent slopes, eroded"
"F111AY021IN","111A","Aquents",243717,"Orthents and aquents, loamy"
"F111AY021IN","111A","Ayrshire",238360,"Ayrshire fine sandy loam"
"F111AY021IN","111A","Ayrshire",289661,"Ayrshire fine sandy loam, 0 to 2 percent slopes"
"F111AY005IN","111A","Beckville",1087979,"Medway and Beckville soils, 0 to 2 percent slopes, frequently flooded, brief duration"
"F111AY005IN","111A","Beckville",2637715,"Eel-Urban land-Beckville complex, 0 to 2 percent slopes, occasionally flooded, very brief duration"
"F111AY005IN","111A","Beckville",1083408,"Eel and Beckville soils, 0 to 2 percent slopes, occasionally flooded, very brief duration"
"F111AY004IN","111A","Bellcreek",289214,"Bellcreek silt loam, 0 to 1 percent slopes, frequently flooded, brief duration"
"F111AY004IN","111A","Bellcreek",243259,"Bellcreek silty clay loam, 0 to 1 percent slopes, frequently flooded, brief duration"
"F111AY004IN","111A","Bellcreek",897370,"Bellcreek silty clay loam, 0 to 1 percent slopes, frequently flooded, brief duration"
"F111AY015IN","111A","Belmore",243349,"Strawn-Belmore loams, 15 to 30 percent slopes, eroded"
"F111AY015IN","111A","Belmore",243262,"Belmore silt loam, 1 to 5 percent slopes, eroded"
"F111AY015IN","111A","Belmore",243260,"Belmore loam, 6 to 12 percent slopes, eroded"
"F111AY015IN","111A","Belmore",243351,"Strawn-Belmore loams, 30 to 50 percent slopes"
"F111AY015IN","111A","Belmore",243261,"Belmore silt loam, 0 to 1 percent slopes"
"R111AY002IN","111A","Benadum",243264,"Benadum silt loam, undrained, 0 to 1 percent slopes"
"R111AY002IN","111A","Benadum",243263,"Benadum silt loam, drained, 0 to 1 percent slopes"
"F111AY019IN","111A","Berks",249907,"Berks silt loam, 18 to 25 percent slopes"
"F111AY019IN","111A","Berks",249338,"Berks channery silt loam, 20 to 35 percent slopes"
"F111AY019IN","111A","Berks",249908,"Berks silt loam, 25 to 50 percent slopes"
"F111AY019IN","111A","Berks",775825,"Berks-Westmoreland silt loams, 15 to 25 percent slopes"
"F111AY019IN","111A","Berks",249334,"Berks channery silt loam, 12 to 20 percent slopes"
"F111AY009IN","111A","Birkbeck",238741,"Birkbeck silt loam, 0 to 2 percent slopes"
"F111AY009IN","111A","Birkbeck",238745,"Birkbeck silt loam, 2 to 6 percent slopes, moderately eroded"
"F111AY009IN","111A","Birkbeck",238743,"Birkbeck silt loam, 2 to 6 percent slopes, slightly eroded"
"F111AY022IN","111A","Bloomfield",289224,"Bloomfield-Alvin loamy sands, 6 to 12 percent slopes"
NA,"111A","Borrow pits",248371,"Borrow pits"
NA,"111A","Borrow pits",1398181,"Borrow pits"
"F111AY007IN","111A","Brookston",2637646,"Brookston silty clay loam-Urban land complex, 0 to 2 percent slopes"
"F111AY007IN","111A","Brookston",2637582,"Brookston-Urban land complex, 0 to 2 percent slopes"
"F111AY007IN","111A","Brookston",2240151,"Brookston silty clay loam, 0 to 2 percent slopes"
"F111AY007IN","111A","Brookston",2454953,"Brookston silt loam, 0 to 2 percent slopes"
"F111AY007IN","111A","Brookston",2240134,"Brookston silty clay loam, fine texture, 0 to 2 percent slopes"
"F111AY007IN","111A","Brookston",2454886,"Brookston silt loam, overwash, fine subsoil, 0 to 2 percent slopes"
"F111AY007IN","111A","Brookston",242036,"Brookston clay loam"
"F111AY007IN","111A","Brookston",2637580,"Urban land-Brookston complex, 0 to 2 percent slopes"
"F111AY007IN","111A","Brookston",2637643,"Brookston clay loam-Urban land complex, 0 to 2 percent slopes"
"F111AY007IN","111A","Brookston",250432,"Brookston silty clay loam, 2 to 6 percent slopes"
"F111AY007IN","111A","Brookston",2637645,"Brookston silt loam, overwash-Urban land complex, 0 to 2 percent slopes"
"F111AY007IN","111A","Brookston",2454884,"Brookston silt loam, fine subsoil, 0 to 2 percent slopes"
"F111AY007IN","111A","Brookston",1844564,"Westland and Brookston loams, overwash"
"F111AY019IN","111A","Brownstown",283397,"Gilwood-Brownstown silt loams, 25 to 75 percent slopes"
"F111AY009IN","111A","Cana",249345,"Cana silt loam, 6 to 12 percent slopes, eroded"
"F111AY009IN","111A","Cana",246642,"Cana silt loam, 2 to 6 percent slopes, moderately eroded"
"F111AY009IN","111A","Cana",249347,"Cana silt loam, 12 to 20 percent slopes, eroded"
"F111AY009IN","111A","Cana",249343,"Cana silt loam, 2 to 6 percent slopes"
"F111AY009IN","111A","Cana",249350,"Cana silt loam, 20 to 35 percent slopes, eroded"
"F111AY009IN","111A","Cana",249673,"Rossmoyne-Cana complex, 2 to 6 percent slopes"
"F111AY009IN","111A","Cana",246644,"Cana silt loam, 6 to 12 percent slopes, moderately eroded"
"F111AY009IN","111A","Cana Variant",250126,"Cana Variant silt loam, 18 to 50 percent slopes"
"F111AY009IN","111A","Cana Variant",250124,"Cana Variant silt loam, 2 to 6 percent slopes"
"F111AY003IN","111A","Carlisle",250842,"Carlisle muck, drained"
"F111AY003IN","111A","Carlisle",250131,"Carlisle muck"
"F111AY003IN","111A","Carlisle",246005,"Carlisle muck"
"F111AY003IN","111A","Carlisle",250843,"Carlisle muck, undrained"
"F111AY003IN","111A","Carlisle",250433,"Carlisle muck"
"F111AY003IN","111A","Carlisle",249354,"Carlisle muck"
"F111AY003IN","111A","Carlisle",244950,"Carlisle muck"
"F111AY003IN","111A","Carlisle",247909,"Carlisle muck"
"F111AY015IN","111A","Casco",249917,"Casco-Eldean complex, 12 to 18 percent slopes, moderately eroded"
"F111AY015IN","111A","Casco",271606,"Fox-Casco sandy loams, 6 to 12 percent slopes, severely eroded"
"F111AY015IN","111A","Casco",250135,"Casco-Kendallville complex, 18 to 35 percent slopes"
"F111AY015IN","111A","Casco",250029,"Rodman-Casco complex, 18 to 25 percent slopes"
"F111AY015IN","111A","Casco",246672,"Fox and Casco soils, 6 to 12 percent slopes, severely eroded"
